RIAD_CODE	LEI	COUNTRY_OF_REGISTRATION	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	HEAD_COUNTRY_OF_REGISTRATION	HEAD_NAME	HEAD_RIAD_CODE	HEAD_LEI	REPORT
AT0000003888151	5299001Z8JOKGWV5O949	AT	Oesterreichische Nationalbank	61	Otto-Wagner-Platz, 3	1090	Wien	Central Bank					Euro Area BSI Statistics full (non-tail) reporter
AT0000000674745	5299000OVRLMF858L016	AT	Oesterreichische Kontrollbank Aktiengesellschaft	70	Am Hof, 4	1010	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000084375995	529900E6JZYYJ2O1OA64	AT	Oesterreichische Entwicklungsbank AG		Strauchgasse, 1-3	1010	Wien	Other Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000034042182	D1HEB8VEU6D9M8ZUXG17	AT	UniCredit Bank Austria AG	35	Rothschildplatz, 1	1020	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000537678	529900ICA8XQYGIKR372	AT	BAWAG P.S.K. Bank für Arbeit und Wirtschaft und Österreichische Postsparkasse Aktiengesellschaft	171	Wiedner Gürtel, 11	1100	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000548014	RRUN0TCQ1K2JDV7MXO75	AT	Oberbank AG	60	Untere Donaulände, 28	4020	Linz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000571933	5299003ATVTQVPTW4735	AT	BTV Vier Länder Bank AG	573	Stadtforum, 1	6020	Innsbruck	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000571776	529900B9P29R8W03IX88	AT	BKS Bank AG		St. Veiter Ring, 43	9020	Klagenfurt	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000203159106		AT	BNP Paribas SA Niederlassung Österreich		Vordere Zollamtsstraße, 13	1030	Wien	Credit Institution	FR	BNP Paribas	FR30004	R0MUWSFPU8MPRO8K5P83	Euro Area BSI Statistics full (non-tail) reporter
AT0000054177751	529900C567TZ45W7GV69	AT	A1 Bank AG		Lassallestraße, 9	1020	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000920619	529900X1F1MUXHHDIV43	AT	Österreichische Ärzte- und Apothekerbank AG	9	Spitalgasse, 31	1090	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000040228585		AT	Société Générale Zweigniederlassung Wien	82	Prinz-Eugen-Straße, 8-10/5/Top 11	1040	Wien	Credit Institution	FR	Société générale S.A.	FR30003	O2RNE8IBXP4R0TD8PU41	Euro Area BSI Statistics full (non-tail) reporter
AT0000051045050	529900MTQXTM5IIGOI81	AT	Generali Bank AG	320	Landskrongasse, 1-3	1010	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000001276474	529900990PPI3K3RDT23	AT	Volkskreditbank AG	116	Rudigierstr., 5-7	4020	Linz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000026736650		AT	Deutsche Bank Aktiengesellschaft Filiale Wien	8	Fleischmarkt, 1	1010	Wien	Credit Institution	DE	DEUTSCHE BANK AKTIENGESELLSCHAFT	DE00001	7LTWFZYICNSX8D621K86	Euro Area BSI Statistics full (non-tail) reporter
AT0000001632015	529900RCLERIIXF4QM23	AT	bank99 AG		Praterstraße, 31	1020	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002790218	549300KFLI6V2PUY8522	AT	Bank Gutmann Aktiengesellschaft	546	Schwarzenbergpl., 16	1010	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000027738994	529900TXPMGGJR19EY42	AT	Kathrein Privatbank Aktiengesellschaft	174	Wipplingerstraße, 25	1010	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000018011393	529900GIW7IGDLAYP075	AT	PARTNER BANK AKTIENGESELLSCHAFT	106	Goethestr., 1a	4020	Linz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000014537508	52990010T57RAF234Z30	AT	Schelhammer Capital Bank AG	618	Goldschmiedgasse, 3-5	1010	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000550424	529900ESWL1AEC189F69	AT	Schoellerbank Aktiengesellschaft	172	Renngasse, 3	1010	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000655363	529900VJCGLCR4SHRC78	AT	Bank Winter & Co. AG	878	Singerstraße, 10	1010	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000016065490	52990022SP6JDAZ2DP74	AT	Bankhaus Denzel Aktiengesellschaft		Erdbergstraße, 189-193	1030	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000016111609	529900SHKXCII9J8CF28	AT	BMW Austria Bank GmbH	283	Siegfried-Marcus-Str., 24	5020	Salzburg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000044332201		AT	MUFG Bank (Europe) N.V. Vienna Branch	51	Schwarzenbergplatz, 5/3.2	1030	Wien	Credit Institution	NL	MUFG Bank (Europe) N.V.	NL512	724500Q03K04L0479N30	Euro Area BSI Statistics full (non-tail) reporter
AT0000110624283	529900EL3KKJRKOK2637	AT	RCI Banque SA, Niederlassung Österreich		Laaer Berg-Straße, 64	1100	Wien	Credit Institution	FR	RCI Banque	FR11188	96950001WI712W7PQG45	Euro Area BSI Statistics full (non-tail) reporter
AT0000052383153	529900VYY1MRNR59PN57	AT	Wiener Privatbank SE		Parkring, 12	1010	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000160200224	54930032WVQDN7YNRI13	AT	LGT Bank AG, Zweigniederlassung Österreich		Bankgasse, 9	1010	Wien	Credit Institution	LI	LGT Bank AG	LI0ECBM00010	7KDSOB6Z0X4S67TMX170	Euro Area BSI Statistics full (non-tail) reporter
AT0000095298293		AT	flatexDEGIRO Bank SE		Gadollaplatz, 1	8010	Graz	Credit Institution	DE	flatexDEGIRO Bank SE	DE05773	529900MKYC1FZ83V3121	Euro Area BSI Statistics full (non-tail) reporter
AT0000024407924	529900CCYCFJRG4F2935	AT	Bankhaus Carl Spängler & Co. Aktiengesellschaft	41	Schwarzstraße, 1	5020	Salzburg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000027111929	529900ZVK4VTIS0TOT43	AT	DenizBank AG	85	Thomas-Klestil-Platz, 1	1030	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000187798408	549300IEVCBWVV97WC81	AT	Kommunalkredit Austria AG		Türkenstraße, 9	1090	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000049108937		AT	Commerzbank AG Niederlassung Wien	148	Tegetthoffstraße, 1	1010	Wien	Credit Institution	DE	COMMERZBANK Aktiengesellschaft	DE00003	851WYGNLUQLFZBSYGB56	Euro Area BSI Statistics full (non-tail) reporter
AT0000043818077	52990056W0VDKEDYUY83	AT	VakifBank International AG		Prinz-Eugen-Straße 8-10, Top 17 + Top 18	1040	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000012288625	5299000I7Y60A8273788	AT	Santander Consumer Bank GmbH	200	Wagramer Straße, 19	1220	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000067035186	549300POR1VXCUOJ3V54	AT	Western Union International Bank GmbH		The Icon Vienna (Turm, 24) Wiedner Gürtel 13	1100	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000551661	529900M2F7D5795H1A49	AT	Raiffeisen Digital Bank AG	272	Am Stadtpark, 9	1030	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000036169751	529900V2939FDC9YKQ07	AT	Bausparkasse Wüstenrot Aktiengesellschaft	155	Alpenstraße, 70	5020	Salzburg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000537595	529900WSSQ6JIRC66D02	AT	Banco do Brasil Aktiengesellschaft	135	Stallburggasse, 4	1010	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000019554466	PQOH26KWDF7CG10L6792	AT	Erste Group Bank AG	162	Am Belvedere, 1	1100	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000077807293	549300HUKIA1IZQHFZ83	AT	Erste Bank der oesterreichischen Sparkassen AG	162	Am Belvedere, 1	1100	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000077238903	529900Z9G1PRYZSX4O63	AT	Die Zweite Wiener Vereins-Sparcasse		Am Schweizer Garten 1, Objekt 2	1030	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000001060704	529900XA7RHLU8ECBK28	AT	Sparkasse der Stadt Amstetten AG	49	Hauptplatz, 31	3300	Amstetten (NÖ)	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002414074	549300X1FFW399TI1820	AT	Sparkasse Baden	109	Hauptplatz, 15	2500	Baden bei Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000013366578	529900HFS7EV7VIALL43	AT	Sparkasse Hainburg-Bruck-Neusiedl Aktiengesellschaft		Pressburger Reichsstraße, 1/Top 23	2410	Hainburg an der Donau	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000016652511	529900YFDTTO5R71VW86	AT	Sparkasse Horn-Ravelsbach-Kirchberg Aktiengesellschaft	28	Kirchenplatz, 12	3580	Horn	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002419115	529900L5GWPLRF3T6825	AT	Sparkasse Korneuburg AG	100	Sparkassenplatz, 1	2100	Korneuburg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000018000354	52990080J4AQ0O07WO29	AT	KREMSER BANK UND SPARKASSEN AKTIENGESELLSCHAFT	27	Ringstraße, 5-7	3500	Krems an der Donau	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002415634	529900Z4R67VBTGVH491	AT	Sparkasse Langenlois		Kornplatz, 2a	3550	Langenlois	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002446357	529900JSHYRHGDZL1753	AT	Sparkasse Neunkirchen	93	Hauptplatz, 2	2620	Neunkirchen/ NÖ	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002305967	5299004T81B4514RAQ13	AT	Sparkasse Pottenstein N.Ö.		Hauptplatz, 5	2563	Pottenstein a.d. Triesting	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000047784135	529900ZKIMUP9PHZIY83	AT	Sparkasse Poysdorf AG		Dreifaltigkeitsplatz, 2	2170	Poysdorf	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000047525462	549300FVPWXG57TWN385	AT	SPARKASSE NIEDERÖSTERREICH MITTE WEST AKTIENGESELLSCHAFT	153	Domgasse, 5	3100	St.Pölten	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002448304	529900VABV69Q757MP34	AT	Sparkasse Scheibbs AG		Hauptstraße, 9	3270	Scheibbs	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000001342797	529900TZVDFQV1D69R57	AT	Wiener Neustädter Sparkasse	56	Neunkirchnerstraße, 4	2700	Wiener Neustadt	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000014811184	529900K5H0F7K9SBO784	AT	Waldviertler Sparkasse Bank AG		Sparkassenplatz, 3	3910	Zwettl	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000016492306	529900408LYNP1ETAV33	AT	SPARKASSE FRANKENMARKT AKTIENGESELLSCHAFT		Hauptstraße, 94	4890	Frankenmarkt	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000001492337	5299006ORDZE7VB1WT33	AT	Sparkasse Salzkammergut AG	38	Sparkassenplatz, 1	4820	Bad Ischl	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000018186278	5299009MP8BA1UW56F78	AT	Sparkasse Lambach Bank Aktiengesellschaft		Klosterpl., 3	4650	Lambach	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000014744211	V0VY22PV9D0HFTF8EI62	AT	Sparkasse Oberösterreich Bank AG	92	Promenade, 11-13	4020	Linz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000016554345	529900QU5N4XMZ1M8Y58	AT	Sparkasse Neuhofen Bank Aktiengesellschaft	23	Marktplatz, 18	4501	Neuhofen an der Krems	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000051253241	529900XDISRMBH5UBL39	AT	Sparkasse Eferding-Peuerbach-Waizenkirchen	10	Stadtplatz, 1	4070	Eferding	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002419545	529900A3V7234Q3DNK66	AT	Sparkasse Pregarten - Unterweißenbach AG		Stadtplatz, 19	4230	Pregarten	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000001642832	529900JQ18IUYNKUIP97	AT	Sparkasse Ried im Innkreis-Haag am Hausruck	185	Marktplatz, 2	4910	Ried im Innkreis	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000026326759	529900JJ5V5FF6B1BP91	AT	Sparkasse Mühlviertel-West Bank Aktiengesellschaft	2	Stadtplatz, 24	4150	Rohrbach-Berg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002400602	52990073IQ71941QXH68	AT	Sparkasse Mittersill Bank AG		Stadtplatz, 4	5730	Mittersill	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000001747003	529900WSPO88HBNY6S36	AT	Sparkasse Imst AG		Sparkassenplatz, 1	6460	Imst	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000014360406	529900HGWNOHNJP3D185	AT	Tiroler Sparkasse Bankaktiengesellschaft Innsbruck	245	Sparkassenplatz, 1	6010	Innsbruck	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002420717	5299005F2A4SAXE4PE25	AT	Sparkasse der Stadt Kitzbühel	90	Bahnhofplatz, 4	6370	Kitzbühel	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000001017373	529900PMGP6HWEDQW939	AT	Sparkasse Kufstein Tiroler Sparkasse von 1877	20	Oberer Stadtplatz, 1	6330	Kufstein	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002401253	529900L8FZJJC3JGYK56	AT	Lienzer Sparkasse AG		Johannesplatz, 6	9900	Lienz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000043122017	5299001G7RXMGFNQBO33	AT	Sparkasse Rattenberg Bank AG		Sparkassenplatz, 69	6240	Rattenberg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002420550	5299002Q3XW9T7PSYJ07	AT	Sparkasse Reutte AG		Obermarkt, 51	6600	Reutte	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000806750	529900P4VO14SV3AUU56	AT	Sparkasse Schwaz AG	45	Franz-Josef-Straße, 8-10	6130	Schwaz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000018117117	529900IZ69LR7SRU9V71	AT	Sparkasse Bregenz Bank Aktiengesellschaft	331	Sparkassenplatz, 1	6900	Bregenz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000757870	529900HC8KY7N0HNY191	AT	Dornbirner Sparkasse Bank AG	18	Sparkassenplatz, 1	6850	Dornbirn	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002401410	5299007CQAM6HN45CF82	AT	Sparkasse der Gemeinde Egg		Nr., 873	6863	Egg (Vbg.)	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000000759306	5299007FR13EUF82L493	AT	Sparkasse der Stadt Feldkirch	50	Sparkassenplatz, 1	6800	Feldkirch	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002401501	5299006FZT79EKTMK255	AT	Sparkasse Bludenz Bank AG	19	Sparkassenplatz, 1	6700	Bludenz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002403465	5299004LQR2P5LDTH233	AT	Sparkasse Feldkirchen/Kärnten	16	Sparkassenstraße, 1 a	9560	Feldkirchen (Ktn.)	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000014788002	529900TKQRJNCFUQI507	AT	Kärntner Sparkasse Aktiengesellschaft	516	Neuer Platz, 14	9020	Klagenfurt	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000016438275	549300DVPJYGNF2P7B03	AT	Steiermärkische Bank und Sparkassen Aktiengesellschaft	844	Sparkassenplatz, 4	8010	Graz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000052607106	529900T3GEQTBTM4VF20	AT	Sparkasse Mürzzuschlag Aktiengesellschaft		Mariazeller Straße, 4a	8680	Mürzzuschlag	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002407458	529900XW4Z6DFWK42X08	AT	Sparkasse Pöllau AG		Hauptplatz, 2	8225	Pöllau	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000018318285	529900ZOABQITI07W206	AT	Sparkasse Voitsberg-Köflach Bankaktiengesellschaft	11	Bahnhofstraße, 2	8570	Voitsberg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000016839340	529900GZ42KYYPY7HZ06	AT	Bausparkasse der österreichischen Sparkassen Aktiengesellschaft	169	Am Belvedere, 1	1100	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000016076505	9ZHRYM6F437SQJ6OUG95	AT	Raiffeisen Bank International AG	50	Am Stadtpark, 9	1030	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002446191	529900WEWTWSNCK1VE42	AT	Raiffeisen Bausparkasse Gesellschaft m.b.H.	29	Mooslackengasse, 12	1190	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000049307208	529900GPOO9ISPD1EE83	AT	RAIFFEISENLANDESBANK NIEDERÖSTERREICH-WIEN AG	991	Friedrich-Wilhelm-Raiffeisenplatz, 1	1020	Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002582102	529900TXERM62NN2XR18	AT	Raiffeisenbank Wagram-Schmidatal eGen		Bahnhofstraße, 25	3462	Absdorf	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002583779	529900OCFXUE12L42K23	AT	Raiffeisenbank Region Amstetten eGen	1	Raiffeisenplatz, 1	3300	Amstetten	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002588653	529900V3U02PY23N1L13	AT	Raiffeisenbank Region Baden eGen	55	Raiffeisenplatz, 1	2500	Baden bei Wien	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002588901	529900YEF6WYOHE9PX96	AT	Raiffeisenkasse Blindenmarkt eGen		Hauptstraße, 40	3372	Blindenmarkt	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002590048	529900YCZ4T4BKB8PI34	AT	Raiffeisenbank Bruck-Carnuntum eGen	62	Raiffeisenplatz, 1	2460	Bruck an der Leitha	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002590204	529900DHP7HRRD2NH428	AT	Raiffeisen-Regionalbank Gänserndorf eGen	20	Bahnstraße, 8	2230	Gänserndorf	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002590634	529900JNB0LJUQY0UH90	AT	Raiffeisenkasse Dobersberg-Waldkirchen eGen	22	Hauptplatz, 20	3843	Dobersberg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002591798	529900AIK6F1A360D784	AT	Raiffeisenbank Eggenburg eGen		Hauptplatz, 24-26	3730	Eggenburg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002592333	529900Q12376FYIQE036	AT	Raiffeisenkasse Ernstbrunn eGen	0	Hauptpl., 11	2115	Ernstbrunn	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002587846	529900RFVP5GLLQOIN21	AT	Raiffeisenbank Region Wiener Alpen eGen		Bahnstraße, 3	2870	Aspang	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002606141	529900CDXQSKWSVDVH81	AT	Raiffeisen Regionalbank Mödling eGen	78	Hauptstraße, 27-29	2340	Mödling	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002606307	529900WDQXD1PFX4Z714	AT	Raiffeisenbank Seefeld-Hadres eGen	2	Hauptplatz, 103	2061	Hadres	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002606810	529900GWQUM8QE89CX95	AT	Raiffeisenkasse Haidershofen eGen		Haidershofen, 100	4431	Haidershofen	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002607388	529900NHKL8DBSHOLY20	AT	Raiffeisenkasse Heiligeneich eGen		Raiffeisenplatz, 1	3452	Heiligeneich	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002611810	529900IJ7KCTOTCIET29	AT	Raiffeisenbank Hollabrunn eGen	16	Raiffeisenplatz, 1	2020	Hollabrunn	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002615050	529900CN08EYK9HTYJ53	AT	Raiffeisenbank Korneuburg eGen	40	Stockerauer Straße, 94	2100	Korneuburg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002618906	529900DXV1NWTZEU7N92	AT	Raiffeisenbank Krems eGen	75	Dreifaltigkeitsplatz, 8	3500	Krems an der Donau	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002619557	5299001U8PWEULH63086	AT	Raiffeisenbank Laa/Thaya eGen		Stadtplatz, 56	2136	Laa a.d. Thaya	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002651600	5299009C948WQ740IL34	AT	Raiffeisenbank Oberes Waldviertel eGen		Hauptplatz, 22	3943	Schrems	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002626412	529900NGXFVA0XEAJM19	AT	Raiffeisenbank Langenlois eGen		Kornplatz, 9	3550	Langenlois	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002627063	529900YHY8PTX0T5N627	AT	Raiffeisenbank Kreuzenstein eGen		Stockerauerstr., 8-10	2100	Leobendorf	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002650479	529900QBRRD2OSTO1J36	AT	Raiffeisenbank Traisen-Gölsental eGen	12	Babenbergerstraße, 5	3180	Lilienfeld	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002628038	5299000DNBTCYOMV1W76	AT	Raiffeisenbank Region Schallaburg eGen	10	Linzer Straße, 6	3382	Loosdorf/ Bez. Melk	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002447082	5299006CGNTOG0DLV470	AT	Raiffeisenbank im Weinviertel eGen		Hauptpl., 37	2130	Mistelbach	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002631255	529900EWO973VIBUH148	AT	Raiffeisenkasse Neusiedl a.d.Zaya eGen		Hauptpl., 3	2183	Neusiedl an der Zaya	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002648499	529900YKWSR6JLGDW672	AT	Raiffeisenbank Region St. Pölten eGen	11	Kremser Landstraße, 18	3100	St. Pölten	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002598884	529900YQLHW3085F3J71	AT	Raiffeisenbank Gross Gerungs eGen		Hauptplatz, 47	3920	Groß Gerungs	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002632063	529900WA7GAUPFZW3G52	AT	Raiffeisenkasse Orth a.d. Donau eGen	0	Am Markt, 21	2304	Orth/Donau	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002473088	529900UY9ALV06KXQA86	AT	Raiffeisenbank Wienerwald eGen		Hauptstr., 62	3021	Pressbaum	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002644407	5299003KMEKIYNEIJN24	AT	Raiffeisenkasse Retz-Pulkautal eGen	11	Hauptplatz, 33	2070	Retz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002652418	529900N9DET1J9AK9J78	AT	Raiffeisenbank Region Schwechat eGen		Bruck-Hainburger Str., 5	2320	Schwechat	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002653226	52990025Y7T5V0W00H04	AT	Raiffeisenbank Stockerau eGen	2	Rathausplatz, 2	2000	Stockerau	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002655197	52990017AXISC0US4773	AT	Raiffeisenbank Tulln-Klosterneuburg eGen		Bahnhofstraße, 9	3430	Tulln	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002655270	529900ZIRPCT06LI2591	AT	Raiffeisenbank Vitis eGen		Hauptplatz, 30	3902	Vitis	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002655353	529900Q2R5PBFJM74T48	AT	Raiffeisenbank im Thayatal eGen		Raiffeisenpromenade, 1	3830	Waidhofen an der Thaya	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002655437	529900BW63FASOB0IV66	AT	Raiffeisenbank Ybbstal eGen		Oberer Stadtplatz, 22	3340	Waidhofen an der Ybbs	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002657052	529900PYOALDPA9SZA21	AT	Raiffeisenbank Wr. Neustadt-Schneebergland eGen	28	Luchspergergasse, 2 - 4	2700	Wiener Neustadt	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002657136	529900Y3Z5A9HLAUEP44	AT	Raiffeisenbank Mittleres Mostviertel eGen		Scheibbser Straße, 4	3250	Wieselburg	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002658613	529900ELZ6BTRTP6ID16	AT	Raiffeisenbank Wolkersdorf - Auersthal eGen	8	Hauptstr., 5	2120	Wolkersdorf	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002661401	529900W1A4T0O6Z1NS59	AT	Raiffeisenbank Weinviertel Nordost eGen		Hauptstr., 39	2225	Zistersdorf	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002662300	5299008NEDOORP72F645	AT	Raiffeisenbank Region Waldviertel Mitte eGen	10	Landstraße 23, Postfach 10	3910	Zwettl	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000001060464	529900VUMWR5RIA1I644	AT	Raiffeisenlandesbank Burgenland und Revisionsverband eGen	96	Friedrich Wilhelm Raiffeisen-Straße, 1	7000	Eisenstadt	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002570529	529900ZPKTLPXOZIRG88	AT	Raiffeisenbank Region Deutschkreutz-Horitschon eGen		Hauptstraße, 49	7301	Deutschkreutz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002570792	529900O1U4B6CE4BZD76	AT	Raiffeisenbank Neusiedlersee-Hügelland eGen		Hauptstraße, 39	7082	Donnerskirchen	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002570875	529900BKH5J6E9QK3O80	AT	Raiffeisenbank Draßmarkt-Kobersdorf-St. Martin eGen	1	Hauptstraße, 29	7372	Draßmarkt	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
AT0000002571253	529900XW859RR8KRJQ73	AT	Raiffeisen Regionalbank Güssing-Jennersdorf eGen	139	Hauptstraße, 3	7540	Güssing	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
